date,totalSick,addSick,totalDeath,addDeath,infection,rawRate,positiveRate,regulate
2021-06-21,14080,75,569,20,0,0.01,1,0
2021-06-20,14005,109,549,11,0,0.01,1,0
2021-06-19,13896,125,538,20,0,0.01,1,0
2021-06-18,13771,187,518,21,0,0.01,1,0
2021-06-17,13584,175,497,19,0.91,0.01,1,0
2021-06-16,13409,168,478,18,0.91,0.01,1,0
2021-06-15,13241,135,460,8,0.91,0.01,1,0
2021-06-14,13106,185,452,15,0.92,0.01,1,0
2021-06-13,12921,175,437,26,0.93,0.01,1,0
2021-06-12,12746,246,411,26,0.95,0.01,1,0
2021-06-11,12500,278,385,24,0.97,0.01,1,0
2021-06-10,12222,254,361,28,0,0.013,1.3,0
2021-06-09,11968,274,333,25,0,0.014,1.4,0
2021-06-08,11694,203,308,22,1.32,0.016,1.6,0
2021-06-07,11491,193,286,26,1.33,0.016,1.6,0
2021-06-06,11298,342,260,36,1.34,0.018,1.8,8
2021-06-05,10956,510,224,37,1.36,0.018,1.8,35
2021-06-04,10446,472,187,21,1.38,0.018,1.8,113
2021-06-03,9974,585,166,17,1.4,0.018,1.8,219
2021-06-02,9389,547,149,12,1.42,0.02,2,177
2021-06-01,8842,331,137,13,1.45,0.021,2.1,65
2021-05-31,8511,351,124,15,1.47,0.024,2.4,73
2021-05-30,8160,354,109,10,1.51,0.026,2.6,89
2021-05-29,7806,491,99,21,1.55,0.027,2.7,166
2021-05-28,7315,554,78,19,1.6,0.029,2.9,258
2021-05-27,6761,670,59,13,1.64,0.029,2.9,266
2021-05-26,6091,635,46,11,1.69,0.026,2.6,331
2021-05-25,5456,539,35,6,1.75,0.024,2.4,261
2021-05-24,4917,595,29,6,1.8,0.023,2.3,256
2021-05-23,4322,460,23,6,1.84,0.022,2.2,170
2021-05-22,3862,723,17,2,1.89,0.021,2.1,400
2021-05-21,3139,314,15,0,1.92,0.017,1.7,0
2021-05-20,2825,292,15,1,1.95,0.017,1.7,0
2021-05-19,2533,273,14,0,1.99,0.017,1.7,0
2021-05-18,2260,243,14,2,2.02,0.017,1.7,0
2021-05-17,2017,335,12,0,2.05,0.019,1.9,0
2021-05-16,1682,207,12,0,2.05,0.017,1.7,0
2021-05-15,1475,185,12,0,2.02,0.013,1.3,0
2021-05-14,1290,34,12,0,1.99,0.007,0.7,0
2021-05-13,1256,25,12,0,1.95,0.008,0.8,0
2021-05-12,1231,21,12,0,1.9,0.009,0.9,0
2021-05-11,1210,11,12,0,1.85,0.008,0.8,0
2021-05-10,1199,15,12,0,1.8,0.008,0.8,0
2021-05-09,1184,1,12,0,1.75,0.007,0.7,0
2021-05-08,1183,5,12,0,1.71,0.008,0.8,0
2021-05-07,1178,5,12,0,1.67,0.008,0.8,0
2021-05-06,1173,13,12,0,1.64,0.008,0.8,0
2021-05-05,1160,7,12,0,1.62,0.007,0.7,0
2021-05-04,1153,8,12,0,1.59,0.007,0.7,0
2021-05-03,1145,8,12,0,1.57,0.007,0.7,0
2021-05-02,1137,5,12,0,1.54,0.007,0.7,0
2021-05-01,1132,4,12,0,1.52,0.006,0.6,0